iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
36,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08964338  0.03585939 -0.07433406 ...  0.02147523  0.10887514
  0.03262645]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
37,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0894641   0.03578767 -0.07418539 ...  0.02143228  0.10865739
  0.0325612 ]",[0 0 0 0 0],0.0,0.0
38,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08928517  0.0357161  -0.07403702 ...  0.02138942  0.10844008
  0.03249608]",[0 0 0 0 0],0.0,0.0
39,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0891066   0.03564467 -0.07388895 ...  0.02134664  0.1082232
  0.03243109]",[0 0 0 0 0],0.0,2.2204460492503132e-17
40,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08892839  0.03557338 -0.07374117 ...  0.02130394  0.10800675
  0.03236622]",[0 0 0 0 0],0.0,0.0
41,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08875053  0.03550223 -0.07359369 ...  0.02126134  0.10779074
  0.03230149]",[0 0 0 0 0],0.0,0.0
42,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08857303  0.03543123 -0.0734465  ...  0.02121881  0.10757516
  0.03223689]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
43,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08839588  0.03536036 -0.07329961 ...  0.02117638  0.10736001
  0.03217241]",[0 0 0 0 0],0.0,0.0
44,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08821909  0.03528964 -0.07315301 ...  0.02113402  0.10714529
  0.03210807]",[0 0 0 0 0],0.0,0.0
45,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08804265  0.03521906 -0.0730067  ...  0.02109175  0.106931
  0.03204385]",[0 0 0 0 0],0.0,0.0
