iteration,human feature,trajectory feature,feature norm,weights,human likeness,likelihood
6,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[ 0.01171199  0.0675368   0.0363435  ... -0.05497692  0.08254577
  0.07530397]",0.692115625942305,-0.6114933750680818
6,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[ 0.00892164  0.06754407  0.03527296 ... -0.05486697  0.08238068
  0.07515336]",0.6548020903044954,-0.3332820667372536
7,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.0057636   0.06755535  0.03420492 ... -0.05475724  0.08221592
  0.07500306]",0.7712467566082652,-0.8872015095403789
7,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[ 0.00280623  0.06756451  0.03313874 ... -0.05464772  0.08205149
  0.07485305]",0.7562418620875254,-0.6486417533243038
7,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[ 0.00139823  0.06750965  0.03249439 ... -0.05453843  0.08188738
  0.07470335]",0.7465486967314356,-2.234922049045757
7,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[-0.00155903  0.06751899  0.03143178 ... -0.05442935  0.08172361
  0.07455394]",0.692115625942305,-0.3168348785823101
7,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.00432283  0.0675263   0.03037106 ... -0.05432049  0.08156016
  0.07440483]",0.6548020903044954,0.00848485839493307
8,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.00745439  0.06753761  0.02931282 ... -0.05421185  0.08139704
  0.07425602]",0.7712467566082652,-0.6393264504713017
8,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.01038532  0.06754681  0.02825643 ... -0.05410343  0.08123425
  0.07410751]",0.7562418620875254,-0.37479168044953326
8,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.01176694  0.06749199  0.02762184 ... -0.05399522  0.08107178
  0.07395929]",0.7465486967314356,-2.2209736989605187
